country,scenario,multiplier,metric,value
SEN,+10% (1.1x),1.1,vos_usd_m,259.2
SEN,+10% (1.1x),1.1,total_investment_usd_m,876.3
SEN,+10% (1.1x),1.1,lcoe_hybrid_usd_kwh,0.214
SEN,+10% (1.1x),1.1,fuel_exposure_pct,40.6
SEN,+10% (1.1x),1.1,battery_leverage,3.12
SEN,+10% (1.1x),1.1,renewable_share_pct,93.2
SEN,+10% (1.1x),1.1,vos_vs_baseline_pct,13.6
SEN,+10% (1.1x),1.1,vos_ratio,1.14
SEN,+25% (1.25x),1.25,diesel_price_usd_l,1.21
SEN,+25% (1.25x),1.25,battery_mwh,755.0
SEN,+25% (1.25x),1.25,battery_investment_usd_m,107.6
SEN,+25% (1.25x),1.25,vos_usd_m,308.2
SEN,+25% (1.25x),1.25,total_investment_usd_m,876.2
SEN,+25% (1.25x),1.25,lcoe_hybrid_usd_kwh,0.218
SEN,+25% (1.25x),1.25,fuel_exposure_pct,46.3
SEN,+25% (1.25x),1.25,battery_leverage,3.54
SEN,+25% (1.25x),1.25,renewable_share_pct,94.0
SEN,+25% (1.25x),1.25,vos_vs_baseline_pct,35.1
SEN,+25% (1.25x),1.25,vos_ratio,1.35
SEN,+50% (1.5x),1.5,diesel_price_usd_l,1.46
SEN,+50% (1.5x),1.5,battery_mwh,777.0
SEN,+50% (1.5x),1.5,battery_investment_usd_m,106.2
SEN,+50% (1.5x),1.5,vos_usd_m,383.1
SEN,+50% (1.5x),1.5,total_investment_usd_m,877.7
SEN,+50% (1.5x),1.5,lcoe_hybrid_usd_kwh,0.224
SEN,+50% (1.5x),1.5,fuel_exposure_pct,54.8
SEN,+50% (1.5x),1.5,battery_leverage,4.27
SEN,+50% (1.5x),1.5,renewable_share_pct,94.3
SEN,+50% (1.5x),1.5,vos_vs_baseline_pct,67.9
SEN,+50% (1.5x),1.5,vos_ratio,1.68
SEN,+75% (1.75x),1.75,diesel_price_usd_l,1.7
SEN,+75% (1.75x),1.75,battery_mwh,799.0
SEN,+75% (1.75x),1.75,battery_investment_usd_m,105.5
SEN,+75% (1.75x),1.75,vos_usd_m,460.6
SEN,+75% (1.75x),1.75,total_investment_usd_m,882.3
SEN,+75% (1.75x),1.75,lcoe_hybrid_usd_kwh,0.231
SEN,+75% (1.75x),1.75,fuel_exposure_pct,63.5
SEN,+75% (1.75x),1.75,battery_leverage,5.02
SEN,+75% (1.75x),1.75,renewable_share_pct,94.6
SEN,+75% (1.75x),1.75,vos_vs_baseline_pct,101.9
SEN,+75% (1.75x),1.75,vos_ratio,2.02
SEN,+100% (2.0x),2.0,diesel_price_usd_l,1.94
SEN,+100% (2.0x),2.0,battery_mwh,816.0
SEN,+100% (2.0x),2.0,battery_investment_usd_m,104.4
SEN,+100% (2.0x),2.0,vos_usd_m,535.1
SEN,+100% (2.0x),2.0,total_investment_usd_m,885.0
SEN,+100% (2.0x),2.0,lcoe_hybrid_usd_kwh,0.238
SEN,+100% (2.0x),2.0,fuel_exposure_pct,71.9
SEN,+100% (2.0x),2.0,battery_leverage,5.77
SEN,+100% (2.0x),2.0,renewable_share_pct,94.8
SEN,+100% (2.0x),2.0,vos_vs_baseline_pct,134.5
SEN,+100% (2.0x),2.0,vos_ratio,2.35
